ActiveCPUs=8
ActivityWasReset=True
Actor1Class=AHuman
Actor1Item1Class=HDFirearm
Actor1Item1Preset=M16
Actor1Item2Class=HDFirearm
Actor1Item2Preset=Uzi
Actor1Preset=Silver Man
Actor1X=1264
Actor1Y=779
Actor2Class=AHuman
Actor2Item1Class=HDFirearm
Actor2Item1Preset=Mauler SG-23
Actor2Preset=Whitebot
Actor2X=976
Actor2Y=881
Actor3Class=AHuman
Actor3Item1Class=HDFirearm
Actor3Item1Preset=Mauler SG-23
Actor3Item2Class=HDFirearm
Actor3Item2Preset=AR-25 Hammerfist
Actor3Item3Class=HDFirearm
Actor3Item3Preset=Blaster
Actor3Preset=Whitebot
Actor3X=988
Actor3Y=882
Actor4Class=ACrab
Actor4Preset=Dreadnought
Actor4X=1866
Actor4Y=990
Actor5Class=AHuman
Actor5Item1Class=HDFirearm
Actor5Item1Preset=XM-10 Submachine Gun
Actor5Preset=Silver Man
Actor5X=1667
Actor5Y=1068
Actor6Class=AHuman
Actor6Item1Class=HDFirearm
Actor6Item1Preset=Pulse Rifle
Actor6Item2Class=HDFirearm
Actor6Item2Preset=Giga Pulsar
Actor6Item3Class=HDFirearm
Actor6Item3Preset=RPG-7
Actor6Item4Class=HDFirearm
Actor6Item4Preset=Heavy Digger
Actor6Preset=NovaMind Light Actor
Actor6X=1693
Actor6Y=1074
Actor7Class=AHuman
Actor7Item1Class=HDFirearm
Actor7Item1Preset=M60
Actor7Item2Class=HDFirearm
Actor7Item2Preset=VSS
Actor7Item3Class=HDFirearm
Actor7Item3Preset=Heavy Digger
Actor7Preset=Silver Man
Actor7X=1634
Actor7Y=1068
Actor8Class=ACrab
Actor8Preset=Anti-Air Drone
Actor8X=1835
Actor8Y=1085
Arctic Pole-Fog0=111111111111111111111111111111111111
Arctic Pole-Fog1=111111111111111111111111111111111111
Arctic Pole-Fog10=000000000011000110000000000000000000
Arctic Pole-Fog2=111111111111111111111111111111111111
Arctic Pole-Fog3=111111111111111111111111111111111111
Arctic Pole-Fog4=111111111111111111111111111111111111
Arctic Pole-Fog5=111111111111111111111111111111111111
Arctic Pole-Fog6=000000111111111111111111111111110000
Arctic Pole-Fog7=000000011111111111111111111111000000
Arctic Pole-Fog8=000000011111111111111111110000000000
Arctic Pole-Fog9=000000011111111111000000000000000000
Arctic Pole-FogRevealPercentage=75
BlackMarketStation Ypsilon-2Actor1Faction=Techion
BlackMarketStation Ypsilon-2Actor1Index=2
BlackMarketStation Ypsilon-2Actor2Faction=Browncoats
BlackMarketStation Ypsilon-2Actor2Index=2
BlackMarketStation Ypsilon-2Actor3Faction=Coalition
BlackMarketStation Ypsilon-2Actor3Index=2
BlackMarketStation Ypsilon-2ActorsCount=3
BlackMarketStation Ypsilon-2ActorsLastRefresh=38741
BlackMarketStation Ypsilon-2Item10Faction=Ronin
BlackMarketStation Ypsilon-2Item10Index=15
BlackMarketStation Ypsilon-2Item11Faction=Ronin
BlackMarketStation Ypsilon-2Item11Index=22
BlackMarketStation Ypsilon-2Item12Faction=Ronin
BlackMarketStation Ypsilon-2Item12Index=23
BlackMarketStation Ypsilon-2Item13Faction=Ronin
BlackMarketStation Ypsilon-2Item13Index=24
BlackMarketStation Ypsilon-2Item14Faction=Ronin
BlackMarketStation Ypsilon-2Item14Index=25
BlackMarketStation Ypsilon-2Item15Faction=Ronin
BlackMarketStation Ypsilon-2Item15Index=26
BlackMarketStation Ypsilon-2Item16Faction=Dummy
BlackMarketStation Ypsilon-2Item16Index=18
BlackMarketStation Ypsilon-2Item17Faction=Dummy
BlackMarketStation Ypsilon-2Item17Index=19
BlackMarketStation Ypsilon-2Item18Faction=Coalition
BlackMarketStation Ypsilon-2Item18Index=19
BlackMarketStation Ypsilon-2Item19Faction=Coalition
BlackMarketStation Ypsilon-2Item19Index=21
